Model,Registration,TTAF,Price,Engine Hours,Maintenance Plan
1996 Gulfstream G-IVSP,N920KM,"6,513",Inquire,,
2007 Gulfstream G450,N452NS,"3,300","$   23,395,000",,
1991 Gulfstream G-IV,HB,"8,587",Inquire,,
1989 Gulfstream G-IV,N198GS,"9,971",Inquire,,
1998 Gulfstream G-IVSP,N970KG,"4,400",Inquire,,
2006 Gulfstream G450,N451DC,"5,604","$   12,750,000",,
1988 Gulfstream G-IV,N21FJ,"8,508",Inquire,,
1995 Gulfstream G-IVSP,N925JS,"8,621","$   6,295,000",668 Hrs.,
1998 Gulfstream G-IVSP,PP,"6,318",Inquire,8 Hrs.,
1990 Gulfstream G-IV,N970SJ,"14,703","$   2,495,000",,
1992 Gulfstream G-IV,N344AA,"9,813",Inquire,,
1987 Gulfstream G-IV,N85WD,"9,601",Inquire,,
1988 Gulfstream G-IV,N200LC,"9,012","$   2,495,000",,
1994 Gulfstream G-IVSP,N99SC,"5,506","$   6,995,000",,
1998 Gulfstream G-IVSP,N168RT,"13,752",Inquire,,
1989 Gulfstream G-IV,N888ES,"7,889",Inquire,,
1995 Gulfstream G-IVSP,N432HC,"14,273","$   4,995,000",791 Hrs.,
2001 Gulfstream G-IVSP,N444QG,"4,556",Inquire,,
2002 Gulfstream G-IVSP,N33LR,"4,856",Inquire,,
1974 Gulfstream G-II,N132FP,"13,793","$   500,000",,
1996 Gulfstream G-IVSP,N677FR,"6,344",Inquire,,
1999 Gulfstream G-IVSP,N125SJ,"6,354","$   5,495,000",,
1993 Gulfstream G-IVSP,N171JC,"11,905","$   2,500,000",,
1996 Gulfstream G-IV,N999AA,"8,737","$   6,495,000",,
1984 Gulfstream G-III,N357KM,"9,401","$   1,195,000",,
2002 Gulfstream G-IVSP,,"3,770",Inquire,,
2001 Gulfstream G-IVSP,XA,"4,290",Inquire,,
1999 Gulfstream G-IVSP,,"12,767",Inquire,,
1993 Gulfstream G-IVSP,N958BX,"8,411",Inquire,712 Hrs.,
1992 Gulfstream G-IVSP,N180CH,"11,041","$   4,395,000",,
1992 Gulfstream G-IVSP,M,"9,110","$   4,800,000",,
1993 Gulfstream G-IVSP,N101CV,"8,588",Inquire,150 Hrs.,
1997 Gulfstream G-IVSP,N137WS,"7,431",Inquire,813 Hrs.,
1997 Gulfstream G-IVSP,N619FL,"6,212",Inquire,,
1993 Gulfstream G-IVSP,,"9,150",Inquire,,
2001 Gulfstream G-IVSP,N5956B,"4,772",Inquire,,
1998 Gulfstream G-IVSP,N970KG,"4,547","$   7,950,000",,
1999 Gulfstream G-IVSP,PP,"6,693","$   4,350,000",,
3027 Gulfstream G-IVSP,N30JE,"5,313",Inquire,,
1992 Gulfstream G-IVSP,N236CA,"9,110","$   4,800,000",,
1995 Gulfstream G-IVSP,N888MF,"8,076",Inquire,,
